,(be)schütte ,protéger,to protect,(be)schützen
den,aal,anguille,eel,Aal
den,a'genten ,agent,agent,Agent
,Aas ,Ase,Áss (sg. of Æsir),Ase
den,adel ,noblesse,"nobility, aristocracy",Adel
den,adem,souffle (respiration),breath,Atem
den,ader,veine,vein,Ader
,adopt'eere ,adopter,to adopt,adoptieren
,af ,de ; par,of; by,von
den,af'deling,"département, section",department,Abteilung
,affällig,dédaigneux,disdainful,abfällig
,afhange/heng/hangen fram ,dépendre de,to depend on,abhängen von
den,afkomm,descendant,descendant,"Abkomme, Nachkomme"
,Afrika ,Afrique,Africa,Afrika
,afschape,abroger,to abrogate,abschaffen
den,afsiht,intention,intention,Absicht
,afsihtlig,délibéré,deliberate,absichtlich
,afslaa/slog/slagen,refuser,to refuse,sich weigern
,aftake/tok/taken,retirer,to take off (tr.),ausziehen
,after ,après,after,nach (zeitl.)
den,aftermiddag ,après-midi,afternoon,Nachmittag
,afwäte,s'attendre à,to await,erwarten
,afwyke/wik/wiken,dévier,to deviate,abweichen
den,ahorn,érable,maple,Ahorn
,aht ,huit,eight,acht
,ahte,respecter,to respect,achten
,akcept'eere ,accepter,to accept,akzeptieren
den,aker ,champ cultivé,field (farmland),Acker
den,akt ,"acte (document, partie) ; modèle nu",act (part); document; nude model,Akt (Teil); Akte; Aktmodell
den,aktivit'eit ,activité,activity,"Aktivität, Tätigkeit"
,aktu'ell ,actuel,"current, up-to-date",aktuell
,al'rede ,déjà,already,"schon, bereits"
,Alarik ,Alaric,Alaric,Alarich
,ald ,vieux,old,alt
dat,alder,âge,age,Alter
den,alderdom ,Antiquité (période),"antiquity, ancient times (period)","Altertum, Antike"
,Alg'erjen ,Algérie,Algeria,Algerien
,all ,tout,all,alle
,all'ein ,"seul, seulement","only, lone, alone","allein, nur"
,all'men ,général,general,allgemein
,Allam'annen ,Alaman,Alemannian (noun),Alemanne
,alltyd ,toujours,always,"immer, stets"
,als ,comme (comparaison ; moment),as (comparison); as (temporal),wie (Vergleich); als (zeitl.)
den,amme ,nourrice,"(wet) nurse, nanny",Amme
dat,amt ,"fonction, office, département","office, department, duty",Amt
,amteere ,être en fonctions,to be in office,amtieren
den,and ,canard,duck,Ente
,and'fo/feng/fongen ,"obtenir, recevoir","to get, to obtain, to receive","erhalten, empfangen"
,ander ,autre (au commun singulier avec désinence: anden),other (common singular with ending: anden),anderer (Utrum Singular mit Endung: anden)
,ändre ,changer (vtr.),to change (vtr.),ändern
,anem'one ,pressentir,"to guess, suspect",ahnen
den,anem'one ,anémone,anemone,Anemone
den,Anglen ,Angle,Angle,Angel (vom Volk der Angeln)
,ango/gik/gon,"regarder, concerner","to concern, regard","angehen, betreffen"
den,angst ,peur,fear,Angst
den,anhänger,partisan,follower,Anhänger
,anklage ,accuser,to accuse,anklagen
,ankomme/kam/kommen ,arriver,to arrive,ankommen
den,annula'sjonen ,annulation,annulment,Annullation
,ansie/so/sien ,regarder,"to look at, to behold",ansehen
den,anstalt,établissement,establishment,Anstalt
,anständig,décent,decent,anständig
dat,answar,réponse,answer,Antwort
,answarlig,responsable,"liable, responsible",verantwortlich
,antake/tok/taken ,"admettre, supposer","to accept; to assume, to suppose",annehmen; vermuten
den,ape,singe,"ape, monkey",Affe
den,apostel,apôtre,apostle,Apostel
den,appel ,pomme,apple,Apfel
den,april ,avril,April,April
den,arbeid ,"travail, labeur","work, labor",Arbeit
,arbeide ,travailler,to work,arbeiten
,arlig ,tôt,early,früh
,arm,pauvre,poor,arm
den,arm ,bras,arm (body part),Arm
dat,armband,bracelet,bracelet,Armband
den,arm'ud ,pauvreté,poverty,Armut
den,art ,"sorte, espèce, manière","sort, kind, manner",Art
den,art'ikel ,article,article,Artikel
den,asche ,cendre,ash(es),Asche
dat,asp'ekte ,aspect,aspect,Aspekt
den,auer,heure,"hour, time","Stunde, Uhr"
dat,aug ,œil,eye,Auge
dat,augblick ,"moment, instant","moment, instant",Augenblick
den,august ,août,August,August
den,auksj'onen,vente aux enchères,auction,"Auktion, Versteigerung"
,aut ,hors de,outside of,außerhalb von
,autbrede,étendre,"to extend, stretch (tr.)","ausbreiten, ausdehnen"
,autkiese/kos/kosen ,sélectionner,to select,auswählen
dat,autland,l'étranger (pays étrangers),countries abroad,das Ausland
den,autoriteit,autorité,authority,"Behörde, Autorität"
,autrote ,"éradiquer, exterminer","to eradicate, to exterminate",ausrotten
,autsie/so/sien,sembler,to seem,aussehen
den,autwexling ,échange,exchange,Austausch
